データコード,FM08'FXERM07,FM09'FX180110002
系列名称,"東京市場　ドル・円　スポット　17時時点/月中平均","実質実効為替レート指数"
1980/01,237.73,101.42
1980/02,244.07,98.68
1980/03,248.61,98.21
1980/04,251.45,98.8
1980/05,228.06,106.12
1980/06,218.11,109.7
1980/07,220.91,107.3
1980/08,224.34,105.4
1980/09,214.95,110.51
1980/10,209.21,113.46
1980/11,212.99,112.33
1980/12,209.79,113.92
1981/01,202.19,118.04
1981/02,205.76,117.43
1981/03,208.84,115.03
1981/04,215.07,112.87
1981/05,220.78,112.31
1981/06,224.21,111.25
1981/07,232.11,107.34
1981/08,233.62,106.88
1981/09,229.83,107.77
1981/10,231.4,105.69
1981/11,223.76,108.09
1981/12,219.02,110.58
1982/01,224.55,107.73
1982/02,235.25,103.81
1982/03,240.64,102.39
1982/04,244.9,102.06
1982/05,236.97,103.54
1982/06,251.11,98.87
1982/07,255.1,97.16
1982/08,258.67,96.66
1982/09,262.74,96.6
1982/10,271.33,94.3
1982/11,265.02,96.37
1982/12,242.49,103.85
1983/01,232.9,107.55
1983/02,236.27,105.93
1983/03,237.92,106.1
1983/04,237.7,106.46
1983/05,234.78,108.3
1983/06,240.06,106.32
1983/07,240.49,105.82
1983/08,244.36,104.65
1983/09,242.71,106.27
1983/10,233,110.37
1983/11,235.25,109.36
1983/12,234.34,110.3
1984/01,233.95,111.24
1984/02,233.67,110.06
1984/03,225.52,112.5
1984/04,224.95,113.17
1984/05,230.67,112.36
1984/06,233.29,110.09
1984/07,242.72,107.64
1984/08,242.24,106.84
1984/09,245.19,108.61
1984/10,246.89,109.02
1984/11,243.29,109.03
1984/12,247.96,108.72
1985/01,254.11,107.08
1985/02,260.34,105.27
1985/03,258.43,106.41
1985/04,251.67,106.87
1985/05,251.57,106.85
1985/06,248.95,107.14
1985/07,241.7,108.56
1985/08,237.2,109.09
1985/09,236.91,109.92
1985/10,214.84,119.07
1985/11,203.85,123.6
1985/12,202.75,123.31
1986/01,200.05,123.95
1986/02,184.62,132.43
1986/03,178.83,135.46
1986/04,175.56,138.51
1986/05,166.89,144.31
1986/06,167.82,143.01
1986/07,158.65,149.56
1986/08,154.11,151.95
1986/09,154.78,150.85
1986/10,156.04,148.98
1986/11,162.72,142.53
1986/12,162.13,141.59
1987/01,154.48,143.88
1987/02,153.49,143.48
1987/03,151.56,144.83
1987/04,142.96,152.7
1987/05,140.47,153.61
1987/06,144.52,149.1
1987/07,150.2,142.93
1987/08,147.57,144.9
1987/09,143.03,148.57
1987/10,143.48,147.72
1987/11,135.25,152.12
1987/12,128.25,157.66
1988/01,127.44,157.83
1988/02,129.26,155.98
1988/03,127.23,156.98
1988/04,124.88,158.86
1988/05,124.74,159.1
1988/06,127.2,156.7
1988/07,133.1,151.75
1988/08,133.63,151.8
1988/09,134.45,151.41
1988/10,128.85,156.37
1988/11,123.16,159.55
1988/12,123.63,157.73
1989/01,127.24,154.18
1989/02,127.77,152.73
1989/03,130.35,150.36
1989/04,132.01,149.94
1989/05,138.4,145.08
1989/06,143.92,140.24
1989/07,140.63,140.83
1989/08,141.2,140.18
1989/09,145.06,137.68
1989/10,141.99,139.31
1989/11,143.55,135.85
1989/12,143.62,133.84
1990/01,145.09,130.71
1990/02,145.54,129.31
1990/03,153.19,123.72
1990/04,158.5,119.73
1990/05,153.52,122.88
1990/06,153.78,122.09
1990/07,149.23,123.65
1990/08,147.46,122.51
1990/09,138.96,130
1990/10,129.73,138.45
1990/11,129.01,138.2
1990/12,133.72,133.73
1991/01,133.65,133.84
1991/02,130.44,135.12
1991/03,137.09,132.76
1991/04,137.15,135.37
1991/05,138.02,135.01
1991/06,139.83,134.3
1991/07,137.98,135.65
1991/08,136.85,135.33
1991/09,134.59,136.18
1991/10,130.81,141.25
1991/11,129.64,140.1
1991/12,128.07,139.55
1992/01,125.05,142.38
1992/02,127.53,140.19
1992/03,132.75,136.23
1992/04,133.59,136.1
1992/05,130.55,137.54
1992/06,126.9,139.91
1992/07,125.66,137.48
1992/08,126.34,136.27
1992/09,122.72,141.22
1992/10,121.14,145.49
1992/11,123.84,146.03
1992/12,123.98,146.07
1993/01,125.02,145.04
1993/02,120.97,151.16
1993/03,117.02,155.79
1993/04,112.37,160.86
1993/05,110.23,163.41
1993/06,107.29,169.4
1993/07,107.77,171.56
1993/08,103.72,178.52
1993/09,105.27,173.67
1993/10,106.94,170.91
1993/11,107.81,169.96
1993/12,109.72,166.3
1994/01,111.49,164.06
1994/02,106.14,170.63
1994/03,105.12,172.24
1994/04,103.48,174.82
1994/05,104,172.69
1994/06,102.69,172.33
1994/07,98.54,176.37
1994/08,99.86,173.19
1994/09,98.79,173.65
1994/10,98.4,173.78
1994/11,98,173.95
1994/12,100.17,170.54
1995/01,99.79,169.59
1995/02,98.23,170.36
1995/03,90.77,181.98
1995/04,83.53,193.95
1995/05,85.21,191.33
1995/06,84.54,191.24
1995/07,87.24,184.02
1995/08,94.56,170.95
1995/09,100.31,161.86
1995/10,100.68,159.47
1995/11,101.89,157.44
1995/12,101.86,158.01
1996/01,105.81,151.67
1996/02,105.7,150.53
1996/03,105.85,150.01
1996/04,107.4,148.44
1996/05,106.49,150.14
1996/06,108.82,146.26
1996/07,109.25,145.41
1996/08,107.84,146.13
1996/09,109.76,143.79
1996/10,112.3,141.02
1996/11,112.27,139.9
1996/12,113.74,138.69
1997/01,118.18,134.31
1997/02,123.01,129.34
1997/03,122.66,130.52
1997/04,125.47,129.84
1997/05,118.91,137.49
1997/06,114.31,142.68
1997/07,115.1,143.13
1997/08,117.89,141.95
1997/09,120.74,139.7
1997/10,121.13,140.98
